Sname,Longitude,Latitude,cluster
Aruba,-69.98267711,12.52088038,0.0
Afghanistan,66.00473366,33.83523073,1.0
Angola,17.53736768,-12.29336054,1.0
Anguilla,-63.06498927,18.2239595,0.0
Albania,20.04983396,41.14244989,1.0
Aland,19.95328768,60.21488688,1.0
Andorra,1.56054378,42.54229102,1.0
United Arab Emirates,54.3001671,23.90528188,1.0
Argentina,-65.17980692,-35.3813488,0.0
Armenia,44.92993276,40.28952569,1.0
American Samoa,-170.7180258,-14.30445997,0.0
Antarctica,19.92108951,-80.50857913,1.0
Ashmore and Cartier Is.,123.5838379,-12.42993164,2.0
Fr. S. Antarctic Lands,69.22666758,-49.24895485,2.0
Antigua and Barb.,-61.79469343,17.2774996,0.0
Australia,134.4910001,-25.73288704,2.0
Austria,14.1264761,47.58549439,1.0
Azerbaijan,47.54599879,40.28827235,1.0
Burundi,29.87512156,-3.35939666,1.0
Belgium,4.64065114,50.63981576,1.0
Benin,2.32785254,9.6417597,1.0
Burkina Faso,-1.75456601,12.26953846,1.0
Bangladesh,90.23812743,23.86731158,2.0
Bulgaria,25.21552909,42.76890318,1.0
Bahrain,50.54196932,26.04205135,1.0
Canada,-98.30777028,61.36206324,0.0
Bahamas,-76.62843038,24.29036702,0.0
Bosnia and Herz.,17.76876733,44.17450125,1.0
St-Barth̩lemy,-62.84067779,17.89880451,0.0
Belarus,28.03209307,53.53131377,1.0
Belize,-88.71010486,17.20027509,0.0
Bermuda,-64.7545589,32.31367802,0.0
Bolivia,-64.68538645,-16.70814787,0.0
Brazil,-53.09783113,-10.78777702,0.0
Barbados,-59.559797,13.18145428,0.0
Brunei,114.7220304,4.51968958,2.0
Bhutan,90.40188155,27.41106589,2.0
Botswana,23.79853368,-22.18403213,1.0
Central African Rep.,20.46826831,6.56823297,1.0
Switzerland,8.20867471,46.79785878,1.0
Chile,-71.38256213,-37.73070989,0.0
China,103.8190735,36.56176546,2.0
C̫te d'Ivoire,-5.5692157,7.6284262,1.0
Cameroon,12.73964156,5.69109849,1.0
Dem. Rep. Congo,23.64396107,-2.87746289,1.0
Congo,15.21965762,-0.83787463,1.0
Cook Is.,-159.7872422,-21.21927288,0.0
Colombia,-73.08114582,3.91383431,0.0
Comoros,43.68253968,-11.87783444,1.0
Cape Verde,-23.9598882,15.95523324,1.0
Costa Rica,-84.19208768,9.97634464,0.0
Cuba,-79.01605384,21.62289528,0.0
Cura̤ao,-68.97119369,12.19551675,0.0
Cayman Is.,-80.91213321,19.42896497,0.0
N. Cyprus,33.5684813,35.26277486,1.0
Cyprus,33.0060022,34.91667211,1.0
Czech Rep.,15.31240163,49.73341233,1.0
Germany,10.38578051,51.10698181,1.0
Djibouti,42.5606754,11.74871806,1.0
Dominica,-61.357726,15.4394702,0.0
Denmark,10.02800992,55.98125296,1.0
Dominican Rep.,-70.50568896,18.89433082,0.0
Algeria,2.61732301,28.15893849,1.0
Ecuador,-78.75201922,-1.42381612,0.0
Egypt,29.86190099,26.49593311,1.0
Eritrea,38.84617011,15.36186618,1.0
Spain,-3.64755047,40.24448698,1.0
Estonia,25.54248537,58.67192972,1.0
